"","Date_time","Longitude_NTU","Latitude_NTU","Date","Time","Longitude","Latitude"
"554","2018-01-07 12:46:30","11619.73861","4004.18385","2018-01-07","12:46:30",116.337183611111,40.0717736111111
"555","2018-01-07 12:46:35","11619.73824","4004.18344","2018-01-07","12:46:35",116.337173333333,40.0717622222222
"556","2018-01-07 12:46:40","11619.738","4004.18329","2018-01-07","12:46:40",116.337166666667,40.0717580555555
"557","2018-01-07 12:46:45","11619.73803","4004.18331","2018-01-07","12:46:45",116.3371675,40.0717586111111
"558","2018-01-07 12:46:50","11619.7379","4004.1835","2018-01-07","12:46:50",116.337163888889,40.0717638888889
"559","2018-01-07 12:46:55","11619.73814","4004.18368","2018-01-07","12:46:55",116.337170555556,40.0717688888889
"560","2018-01-07 12:47:00","11619.73837","4004.18371","2018-01-07","12:47:00",116.337176944444,40.0717697222222
"561","2018-01-07 12:47:05","11619.73839","4004.18382","2018-01-07","12:47:05",116.3371775,40.0717727777778
"562","2018-01-07 12:47:10","11619.73877","4004.18392","2018-01-07","12:47:10",116.337188055556,40.0717755555556
"563","2018-01-07 12:47:15","11619.73899","4004.18403","2018-01-07","12:47:15",116.337194166667,40.0717786111111
"564","2018-01-07 12:47:20","11619.73933","4004.18375","2018-01-07","12:47:20",116.337203611111,40.0717708333333
"565","2018-01-07 12:47:25","11619.73983","4004.184","2018-01-07","12:47:25",116.3372175,40.0717777777778
"566","2018-01-07 12:47:30","11619.73999","4004.18417","2018-01-07","12:47:30",116.337221944444,40.0717825
"567","2018-01-07 12:47:35","11619.73999","4004.18429","2018-01-07","12:47:35",116.337221944444,40.0717858333333
"568","2018-01-07 12:47:40","11619.73898","4004.18353","2018-01-07","12:47:40",116.337193888889,40.0717647222222
"569","2018-01-07 12:47:45","11619.7384","4004.18305","2018-01-07","12:47:45",116.337177777778,40.0717513888889
"570","2018-01-07 12:47:50","11619.73839","4004.18302","2018-01-07","12:47:50",116.3371775,40.0717505555555
"571","2018-01-07 12:47:55","11619.73867","4004.18328","2018-01-07","12:47:55",116.337185277778,40.0717577777778
"572","2018-01-07 12:48:00","11619.73866","4004.18333","2018-01-07","12:48:00",116.337185,40.0717591666667
"573","2018-01-07 12:48:05","11619.73841","4004.18311","2018-01-07","12:48:05",116.337178055556,40.0717530555556
"574","2018-01-07 12:48:10","11619.73829","4004.18303","2018-01-07","12:48:10",116.337174722222,40.0717508333333
"575","2018-01-07 12:48:15","11619.73826","4004.18296","2018-01-07","12:48:15",116.337173888889,40.0717488888889
"576","2018-01-07 12:48:20","11619.73829","4004.18308","2018-01-07","12:48:20",116.337174722222,40.0717522222222
"577","2018-01-07 12:48:25","11619.73872","4004.18336","2018-01-07","12:48:25",116.337186666667,40.07176
"578","2018-01-07 12:48:30","11619.73894","4004.18356","2018-01-07","12:48:30",116.337192777778,40.0717655555556
"579","2018-01-07 12:48:35","11619.73884","4004.18353","2018-01-07","12:48:35",116.33719,40.0717647222222
"580","2018-01-07 12:48:40","11619.73886","4004.18366","2018-01-07","12:48:40",116.337190555556,40.0717683333333
"581","2018-01-07 12:48:45","11619.73879","4004.1839","2018-01-07","12:48:45",116.337188611111,40.071775
"582","2018-01-07 12:48:50","11619.73888","4004.18404","2018-01-07","12:48:50",116.337191111111,40.0717788888889
"583","2018-01-07 12:48:55","11619.73887","4004.18405","2018-01-07","12:48:55",116.337190833333,40.0717791666667
"584","2018-01-07 12:49:00","11619.73877","4004.18411","2018-01-07","12:49:00",116.337188055556,40.0717808333333
